Couple_ID,T1A_Demo_Age_A,Attention_1.x_A,Attention_2.x_A,T1A_Demo_Gender_A,T1A_ROES_FB_S__1_A,T1A_ROES_FB_S__2_A,T1A_ROES_FB_S__3_A,T1A_ROES_FB_S__4_A,T1A_ROES_FB_S__5_A,T1A_ROES_FB_S__6_A,T1A_ROES_FB_S__7_A,T1A_ROES_FB_S__8_A,T1A_ROES_FB_S__9_A,T1A_ROES_FB_S__10_A,T1A_ROES_FB_S__11_A,T1A_ROES_FB_S__12_A,T1A_ROES_FB_S__13_A,T1A_ROES_FB_S__14_A,T1A_ROES_FB_S__15_A,T1A_ROES_FB_S__16_A,T1A_ROES_FB_S__17_A,T1A_ROES_FB_S__18_A,T1A_ROES_FB_S__19_A,T1A_ROES_FB_S__20_A,T1A_ROES_FB_S__21_A,T1A_ROES_FB_S__22_A,T1A_ROES_FB_S__23_A,T1A_ROES_FB_S__24_A,T1A_ROES_FB_S__25_A,T1A_ROES_FB_S__26_A,T1A_ROES_FB_S__27_A,T1A_ROES_FB_S__28_A,T1A_ROES_FB_S__29_A,T1A_ROES_FB_S__30_A,T1A_ROES_FB_S__31_A,T1A_ROES_FB_S__32_A,T1A_Demo_Age_P,Attention_1.x_P,Attention_2.x_P,T1A_Demo_Gender_P,Attention_1.y_P,Attention_2.y_P,T1B_ROES_FB_O__1_P,T1B_ROES_FB_O__2_P,T1B_ROES_FB_O__3_P,T1B_ROES_FB_O__4_P,T1B_ROES_FB_O__5_P,T1B_ROES_FB_O__6_P,T1B_ROES_FB_O__7_P,T1B_ROES_FB_O__8_P,T1B_ROES_FB_O__9_P,T1B_ROES_FB_O__10_P,T1B_ROES_FB_O__11_P,T1B_ROES_FB_O__12_P,T1B_ROES_FB_O__13_P,T1B_ROES_FB_O__14_P,T1B_ROES_FB_O__15_P,T1B_ROES_FB_O__16_P,T1B_ROES_FB_O__17_P,T1B_ROES_FB_O__18_P,T1B_ROES_FB_O__19_P,T1B_ROES_FB_O__20_P,T1B_ROES_FB_O__21_P,T1B_ROES_FB_O__22_P,T1B_ROES_FB_O__23_P,T1B_ROES_FB_O__24_P,T1B_ROES_FB_O__25_P,T1B_ROES_FB_O__26_P,T1B_ROES_FB_O__27_P,T1B_ROES_FB_O__28_P,T1B_ROES_FB_O__29_P,T1B_ROES_FB_O__30_P,T1B_ROES_FB_O__31_P,T1B_ROES_FB_O__32_P,Length,RelWB_P,RelWB_A
1332694962,36,2,1,1,4,4,4,4,3,4,4,3,5,4,4,4,3,3,5,5,3,4,5,4,4,4,4,4,3,4,4,5,2,2,5,2,30,2,1,2,1,5,4,4,4,4,2,3,2,3,4,4,4,4,5,5,5,4,5,6,6,5,5,5,4,4,4,4,4,5,3,3,3,3,6.583333333,28.71428571,21.32619048
1358215351,34,2,1,1,6,6,6,6,2,6,6,4,6,6,6,6,1,5,2,6,6,6,6,6,6,6,2,6,6,6,3,1,4,1,1,1,30,2,1,2,1,5,5,6,5,5,6,6,6,6,6,5,6,6,3,5,5,4,5,4,5,4,2,4,2,2,5,5,5,4,4,4,2,4,11.25,27.27857143,31
1366524973,37,2,1,2,5,4,5,5,2,6,3,2,5,5,5,5,4,5,5,5,6,6,5,5,4,5,4,4,5,5,5,5,3,1,1,2,30,2,1,1,1,5,4,4,4,4,4,4,4,4,2,3,2,4,3,4,4,4,5,5,5,5,3,4,3,3,4,4,4,4,2,2,3,2,7.166666667,28.85238095,31.91666667
1392477926,31,2,1,1,4,5,5,4,1,2,1,1,5,4,5,5,6,6,6,5,5,5,5,5,4,5,4,4,4,2,3,4,1,1,1,1,30,2,1,2,1,5,4,4,4,5,1,2,1,1,4,1,1,3,6,6,6,6,6,6,6,6,4,5,5,5,1,2,1,2,2,1,1,1,5.75,32.17380952,27.76666667
1429781806,28,2,1,2,5,6,5,5,3,4,3,3,3,4,3,3,5,4,3,4,6,6,6,6,3,5,4,4,5,5,5,5,4,1,2,2,29,2,1,1,1,5,5,5,5,5,4,4,5,5,4,4,2,3,4,6,6,6,6,6,6,6,5,4,5,4,6,6,4,4,2,1,3,2,2.75,27.67619048,28.41666667
1434979242,53,2,1,1,5,3,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,5,4,5,3,3,3,3,2,2,2,2,3,2,2,2,36,2,1,2,1,5,5,4,4,4,1,4,1,1,4,4,4,4,5,6,5,6,6,6,6,6,3,5,5,2,2,4,1,4,1,1,1,1,3.5,33,33
1461398593,22,2,1,2,5,5,5,5,3,3,3,2,6,6,6,6,5,6,6,5,6,6,6,6,4,4,3,3,5,5,5,5,1,2,2,1,22,2,1,1,1,5,6,6,6,6,1,1,1,1,4,4,2,1,6,6,6,6,6,6,6,6,6,4,3,6,6,4,1,6,1,2,1,1,1.583333333,30.65,30.48333333
1467258572,32,2,1,2,4,4,4,4,3,3,3,2,4,4,4,4,5,5,5,4,5,5,5,5,3,4,3,3,3,4,3,4,3,2,3,3,27,2,1,1,1,5,5,4,4,4,1,2,1,1,2,5,4,4,4,5,4,4,5,5,2,5,2,2,2,2,2,4,2,2,2,1,4,1,1.25,26.44761905,26.02857143
1476137362,22,2,1,2,4,2,5,6,5,6,5,6,4,4,4,5,6,5,6,4,4,4,3,6,2,5,1,4,5,6,5,5,6,4,6,5,23,5,1,1,6,5,3,4,6,4,2,6,1,2,6,6,6,6,6,6,6,6,6,6,6,5,4,5,4,4,5,6,6,6,2,1,2,1,5,29.80714286,27.58333333
1495025151,30,2,1,2,4,5,5,4,4,4,4,5,5,5,5,5,5,6,5,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,3,4,34,2,1,1,1,5,4,4,4,4,3,4,3,3,4,4,4,4,5,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,3,3,3,3,8.416666667,28.47380952,28.06666667
